,prime_award_unique_key,prime_award_amount,prime_award_base_action_date,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_awardee_uei,prime_awardee_name,prime_awardee_zip_code
0,ASST_NON_693JJ22230000YS32OHE161055_6925,111629.82,2022-02-18,69,Department of Transportation (DOT),ERAMRH53K2Y7,"TRANSPORTATION, OHIO DEPARTMENT OF",432231102
1,ASST_NON_69A3752230000405DOHL_6940,6187134.21,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
2,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
3,ASST_NON_TX-2022-051_6955,56261200.0,2022-08-12,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
4,ASST_NON_TX-2022-050_6955,7500000.0,2022-08-29,69,Department of Transportation (DOT),KXKDXF9XV5T3,"TRANSPORTATION, TEXAS DEPARTMENT OF",787041202
5,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
6,ASST_NON_69A3752230000405CMT0_6940,391567.35,2021-12-15,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
7,ASST_NON_693JJ22230000Y308IN2002974_6925,202899.64,2022-08-30,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
8,ASST_NON_693JJ22230000Y237MN7420168_6925,2209624.39,2022-04-26,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
9,ASST_NON_693JJ22230000Y400IN1700729_6925,581417.4,2022-08-10,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
10,ASST_NON_693JJ22230000Y237IN1600891_6925,2755319.98,2022-08-31,69,Department of Transportation (DOT),JGG2ZJCXBMY3,INDIANA DEPARTMENT OF TRANSPORTATION,462042273
11,ASST_NON_MI-2021-049_6955,3245891.0,2021-08-18,69,Department of Transportation (DOT),NVZJM5MJ2MB6,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
12,ASST_NON_693JJ22230000Y233CA5141015_6925,100000.0,2022-04-04,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
13,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
14,ASST_NON_693JJ31950003_6925,139744070.13,2019-06-21,69,Department of Transportation (DOT),PKFJZHG2MLG9,NATIONAL ACADEMY OF SCIENCES,204180007
15,ASST_NON_693JJ22230000Y301CA5107044_6925,798000.0,2022-04-26,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
16,ASST_NON_693JJ22230000Y238VTMM19017_6925,531254.0,2022-06-29,69,Department of Transportation (DOT),K5ZLF422BS36,"TRANSPORTATION, VERMONT AGENCY OF",56414129
17,ASST_NON_SD-2022-019_6955,9779002.0,2022-08-19,69,Department of Transportation (DOT),LWAMCP81LP14,"TRANSPORTATION, SOUTH DAKOTA DEPARTMENT OF",575012586
18,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
19,ASST_NON_MN-2020-020_6955,4278400.0,2020-05-04,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
20,ASST_NON_MN-2020-020_6955,8712800.0,2020-05-04,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
21,ASST_NON_69A3752230SUP4020MD0_6940,305471.3,2021-12-15,69,Department of Transportation (DOT),YU6WVSPTHKQ9,"TRANSPORTATION, MARYLAND DEPARTMENT OF",210610000
22,ASST_NON_693JJ22230000Y308FLD221016_6925,298750.0,2022-02-24,69,Department of Transportation (DOT),RFKGNHR7ZH37,"TRANSPORTATION, FLORIDA DEPARTMENT OF",323996544
23,ASST_NON_69A37522300004020NM0_6940,3199205.99,2021-12-15,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
24,ASST_NON_69A37522300001640NMA_6940,6906890.0,2022-05-16,69,Department of Transportation (DOT),KW1EKL33X3H9,NEW MEXICO DEPARTMENT OF TRANSPORTATION,875051842
25,ASST_NON_MN-2020-020_6955,4278400.0,2020-05-04,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
26,ASST_NON_MN-2020-020_6955,8712800.0,2020-05-04,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
27,ASST_NON_693JJ22230000Y400CA5181191_6925,564855.0,2022-07-06,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
28,ASST_NON_VA-2022-036_6955,4174347.0,2022-08-15,69,Department of Transportation (DOT),EMU7L25FKNE9,"RAIL AND PUBLIC TRANSPORTATION, VIRGINIA DEPARTMENT OF",232193600
29,ASST_NON_VA-2022-036_6955,4174347.0,2022-08-15,69,Department of Transportation (DOT),EMU7L25FKNE9,"RAIL AND PUBLIC TRANSPORTATION, VIRGINIA DEPARTMENT OF",232193600
30,ASST_NON_693JJ22230000YS30MS0038046_6925,397306.0,2022-06-27,69,Department of Transportation (DOT),CMKLXEA2MND4,MISSISSIPPI DEPARTMENT OF TRANSPORTATION,392011010
31,ASST_NON_693JJ22230000Y940MTRTP2209_6925,75000.0,2022-07-26,69,Department of Transportation (DOT),X2ABD4NRFFW9,"TRANSPORTATION, MONTANA DEPARTMENT OF",596019746
32,ASST_NON_693JJ22230000Y450COSW03048_6925,598096.0,2022-09-22,69,Department of Transportation (DOT),M95NMB9MJKF7,COLORADO DEPARTMENT OF TRANSPORTATION,80204
33,ASST_NON_SD-2022-019_6955,9779002.0,2022-08-19,69,Department of Transportation (DOT),LWAMCP81LP14,"TRANSPORTATION, SOUTH DAKOTA DEPARTMENT OF",575012586
34,ASST_NON_MN-2021-036_6955,4226996.0,2021-07-13,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
35,ASST_NON_MN-2021-036_6955,4226996.0,2021-07-13,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
36,ASST_NON_SD-2022-019_6955,9779002.0,2022-08-19,69,Department of Transportation (DOT),LWAMCP81LP14,"TRANSPORTATION, SOUTH DAKOTA DEPARTMENT OF",575012586
37,ASST_NON_69A37522300004020OH0_6940,11736604.01,2021-12-15,69,Department of Transportation (DOT),GLPQDNFRKQ36,"PUBLIC SAFETY, OHIO DEPARTMENT OF",432231102
38,ASST_NON_693JJ22230000YS32CO1602167_6925,1346497.0,2022-03-10,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
39,ASST_NON_693JJ22230000Y001CO1602167_6925,379449.0,2022-02-07,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
40,ASST_NON_693JJ22230000Y238CO092A032_6925,112258.0,2022-02-17,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
41,ASST_NON_693JJ22230000Y001CO0831125_6925,4119029.0,2022-02-08,69,Department of Transportation (DOT),M95NMB9MJKF7,"TRANSPORTATION, COLORADO DEPARTMENT OF",802042305
42,ASST_NON_69A37522300004020NY0_6940,17988261.38,2021-12-15,69,Department of Transportation (DOT),VND1SB25VXQ8,"MOTOR VEHICLES, NEW YORK STATE DEPARTMENT OF",122280001
43,ASST_NON_693JJ22230000YS30MN3022228_6925,154216.76,2022-09-06,69,Department of Transportation (DOT),JL4EX4R4A647,"TRANSPORTATION, MINNESOTA DEPARTMENT OF",551551800
44,ASST_NON_693JJ22230000Y400CA5475042_6925,2000000.0,2022-08-29,69,Department of Transportation (DOT),UK66CLD4DX71,"CALIFORNIA, DEPARTMENT OF TRANSPORTATION",958167011
45,ASST_NON_MI-2022-037_6955,671025.0,2022-07-22,69,Department of Transportation (DOT),NVZJM5MJ2MB6,"TRANSPORTATION, MICHIGAN DEPARTMENT OF",489331532
46,ASST_NON_ME-2022-009_6955,3085679.0,2022-08-15,69,Department of Transportation (DOT),MP59EXMVEMJ7,MAINE DEPARTMENT OF TRANSPORTATION,4330
47,ASST_NON_2201TXLIEI_7590,9627413.0,2022-01-24,75,Department of Health and Human Services (HHS),MNGDPFC1X5E4,"HOUSING & COMMUNITY AFFAIRS, TEXAS DEPARTMENT OF",787012410
48,ASST_NON_2201TXLIEI_7590,9627413.0,2022-01-24,75,Department of Health and Human Services (HHS),MNGDPFC1X5E4,"HOUSING & COMMUNITY AFFAIRS, TEXAS DEPARTMENT OF",787012410
