,contract_award_unique_key,award_id_piid,total_obligated_amount,award_base_action_date,awarding_agency_code,awarding_agency_name,recipient_uei,recipient_name,recipient_zip_4_code
0,CONT_AWD_6973GH22F01510_6920_6973GH22D00015_6920,6973GH22F01510,125284.9,2022-08-22,69,DEPARTMENT OF TRANSPORTATION (DOT),VZH2RXQG6QD5,SENTINEL POWER SERVICES LLC,85377
1,CONT_AWD_12760422F0361_12C2_12314420A0001_1205,12760422F0361,281952.6,2022-09-12,12,DEPARTMENT OF AGRICULTURE (USDA),VRANB15MLFX4,GLOBAL COM INC.,201664429
2,CONT_AWD_140L3722C0022_1422_-NONE-_-NONE-,140L3722C0022,333514.5,2022-08-15,14,DEPARTMENT OF THE INTERIOR (DOI),KN4LBL8BL4M1,,806318420
3,CONT_AWD_6973GH22F01779_6920_6973GH22D00017_6920,6973GH22F01779,37129.0,2022-09-15,69,DEPARTMENT OF TRANSPORTATION (DOT),GAWHH13W8WR9,"WELLS GLOBAL, LLC",276163177
4,CONT_AWD_140P6222F0064_1443_GS10F0236X_4732,140P6222F0064,65124.0,2022-09-06,14,DEPARTMENT OF THE INTERIOR (DOI),EKLJKTYNLKN7,GEOMORPH INFORMATION SYSTEMS LLC,921282361
5,CONT_AWD_1305L322FNFFK0105_1330_47QTCB22D0001_4732,1305L322FNFFK0105,1393958.23,2022-07-14,13,DEPARTMENT OF COMMERCE (DOC),KHQ7LUJQLTG9,"MIAMITSPI, LLC",201911414
6,CONT_AWD_693JJ919F000056_6940_GS35F0410X_4732,693JJ919F000056,1986620.44,2019-05-01,69,DEPARTMENT OF TRANSPORTATION (DOT),DZCUNV7ERLF3,"MISSION CRITICAL PARTNERS, LLC",168707142
7,CONT_AWD_127EAY22F0046_12C2_127EAY22D0011_12C2,127EAY22F0046,168615.0,2022-07-20,12,DEPARTMENT OF AGRICULTURE (USDA),FQLUT2S2KGQ5,GONZALEZ FORESTRY INC,975021891
8,CONT_AWD_1305M322PNRMJ0564_1330_-NONE-_-NONE-,1305M322PNRMJ0564,1164661.0,2022-09-08,13,DEPARTMENT OF COMMERCE (DOC),MCXMTA8F1N51,"PICARRO, INC.",950541815
9,CONT_AWD_11316022F0004NCD_1100_11316020A0007EOP_1100,11316022F0004NCD,366912.0,2022-08-25,1100,EXECUTIVE OFFICE OF THE PRESIDENT (EOP),K2LSKREMN6M4,PROXY PERSONNEL LLC,200365304
10,CONT_AWD_6982AF22P000003_6925_-NONE-_-NONE-,6982AF22P000003,299130.0,2022-01-19,69,DEPARTMENT OF TRANSPORTATION (DOT),N77CGMDUAXU5,"BEACON GROUP, LLC",223142642
11,CONT_AWD_W912ES21C0006_9700_-NONE-_-NONE-,W912ES21C0006,2683201.49,2021-04-01,97,DEPARTMENT OF DEFENSE (DOD),L56XL6VKCJV5,"TUNHEIM CONSTRUCTION, LLC",565607500
12,CONT_AWD_12760422F0333_12C2_GS35F0074S_4730,12760422F0333,97739.0,2022-08-19,12,DEPARTMENT OF AGRICULTURE (USDA),DQ6RYNAB8MJ7,"WINVALE GROUP, LLC (THE)",232331318
13,CONT_AWD_12441922F0080_12C2_12467020A0028_12C2,12441922F0080,112161.39,2022-09-29,12,DEPARTMENT OF AGRICULTURE (USDA),ZCKVFKSF98F5,"LG2 ENVIRONMENTAL SOLUTIONS, INC.",322563585
