,prime_award_unique_key,prime_award_piid,prime_award_amount,prime_award_base_action_date,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_awardee_uei,prime_awardee_name,prime_awardee_zip_code
0,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
1,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
2,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
5,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
6,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
7,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
8,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
9,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
10,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
11,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
12,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
13,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
14,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
15,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
16,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
17,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
18,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
19,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
20,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
21,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
22,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
23,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
24,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
